date,exchange_rate
2019-12-30,23167.0
2019-12-31,23155.0
2020-01-02,23150.0
2020-01-03,23157.0
2020-01-04,23157.0
2020-01-06,23167.0
2020-01-07,23174.0
2020-01-08,23165.0
2020-01-09,23173.0
2020-01-10,23166.0
2020-01-11,23166.0
2020-01-13,23162.0
2020-01-14,23157.0
2020-01-15,23158.0
2020-01-16,23156.0
2020-01-17,23157.0
2020-01-18,23157.0
2020-01-20,23155.0
2020-01-21,23158.0
2020-01-22,23170.0
2020-01-30,23185.0
2020-01-31,23196.0
2020-02-01,23196.0
2020-02-03,23201.0
2020-02-04,23206.0
2020-02-05,23196.0
2020-02-06,23201.0
2020-02-07,23201.0
2020-02-08,23201.0
2020-02-10,23211.0
2020-02-11,23217.0
2020-02-12,23208.0
2020-02-13,23206.0
2020-02-14,23215.0
2020-02-15,23215.0
2020-02-17,23218.0
2020-02-18,23214.0
2020-02-19,23228.0
2020-02-20,23234.0
2020-02-21,23239.0
2020-02-22,23239.0
2020-02-24,23243.0
2020-02-25,23245.0
2020-02-26,23239.0
2020-02-27,23234.0
2020-02-28,23224.0
2020-02-29,23224.0
2020-03-02,23219.0
2020-03-03,23209.0
2020-03-04,23204.0
2020-03-05,23203.0
2020-03-06,23197.0
2020-03-07,23197.0
2020-03-09,23195.0
2020-03-10,23190.0
2020-03-11,23198.0
2020-03-12,23197.0
2020-03-13,23212.0
2020-03-14,23212.0
2020-03-16,23222.0
2020-03-17,23227.0
2020-03-18,23232.0
2020-03-19,23242.0
2020-03-20,23252.0
2020-03-21,23252.0
2020-03-23,23259.0
2020-03-24,23260.0
2020-03-25,23250.0
2020-03-26,23245.0
2020-03-27,23235.0
2020-03-28,23235.0
2020-03-30,23230.0
2020-03-31,23235.0
2020-04-01,23232.0
2020-04-03,23239.0
2020-04-04,23239.0
2020-04-06,23234.0
2020-04-07,23230.0
2020-04-08,23225.0
2020-04-09,23235.0
2020-04-10,23221.0
2020-04-11,23221.0
2020-04-13,23216.0
2020-04-14,23223.0
2020-04-15,23227.0
2020-04-16,23236.0
2020-04-17,23241.0
2020-04-18,23241.0
2020-04-20,23238.0
2020-04-21,23246.0
2020-04-22,23256.0
2020-04-23,23261.0
2020-04-24,23272.0
2020-04-25,23272.0
2020-04-27,23272.0
2020-04-28,23262.0
2020-04-29,23257.0
2020-05-04,23247.0
2020-05-05,23262.0
2020-05-06,23254.0
2020-05-07,23265.0
2020-05-08,23262.0
2020-05-09,23262.0
2020-05-11,23252.0
2020-05-12,23245.0
2020-05-13,23244.0
2020-05-14,23253.0
2020-05-15,23263.0
2020-05-16,23263.0
2020-05-18,23265.0
2020-05-19,23259.0
2020-05-20,23249.0
2020-05-21,23247.0
2020-05-22,23242.0
2020-05-23,23242.0
2020-05-25,23257.0
2020-05-26,23270.0
2020-05-27,23260.0
2020-05-28,23271.0
2020-05-29,23261.0
2020-05-30,23261.0
2020-06-01,23256.0
2020-06-02,23251.0
2020-06-03,23246.0
2020-06-04,23244.0
2020-06-05,23245.0
2020-06-06,23245.0
2020-06-08,23240.0
2020-06-09,23232.0
2020-06-10,23222.0
2020-06-11,23212.0
2020-06-12,23222.0
2020-06-13,23222.0
2020-06-15,23239.0
2020-06-16,23249.0
2020-06-17,23240.0
2020-06-18,23239.0
2020-06-19,23234.0
2020-06-20,23234.0
2020-06-22,23241.0
2020-06-23,23241.0
2020-06-24,23228.0
2020-06-25,23230.0
2020-06-26,23232.0
2020-06-27,23232.0
2020-06-29,23229.0
2020-06-30,23229.0
2020-07-01,23235.0
2020-07-02,23225.0
2020-07-03,23230.0
2020-07-06,23227.0
2020-07-07,23222.0
2020-07-08,23218.0
2020-07-09,23221.0
2020-07-10,23216.0
2020-07-11,23216.0
2020-07-13,23220.0
2020-07-14,23216.0
2020-07-15,23226.0
2020-07-16,23221.0
2020-07-17,23235.0
2020-07-18,23235.0
2020-07-20,23234.0
2020-07-21,23231.0
2020-07-22,23221.0
2020-07-23,23220.0
2020-07-24,23221.0
2020-07-25,23211.0
2020-07-27,23216.0
2020-07-28,23211.0
2020-07-29,23216.0
2020-07-30,23212.0
2020-07-31,23213.0
2020-08-01,23213.0
2020-08-03,23207.0
2020-08-04,23214.0
2020-08-05,23208.0
2020-08-06,23203.0
2020-08-07,23200.0
2020-08-08,23200.0
2020-08-10,23215.0
2020-08-11,23217.0
2020-08-12,23217.0
2020-08-13,23215.0
2020-08-14,23212.0
2020-08-15,23212.0
2020-08-17,23214.0
2020-08-18,23209.0
2020-08-19,23204.0
2020-08-20,23200.0
2020-08-21,23210.0
2020-08-22,23210.0
2020-08-24,23212.0
2020-08-25,23211.0
2020-08-26,23213.0
2020-08-27,23208.0
2020-08-28,23205.0
2020-08-29,23205.0
2020-08-31,23200.0
2020-09-01,23195.0
2020-09-03,23203.0
2020-09-04,23206.0
2020-09-05,23206.0
2020-09-07,23207.0
2020-09-08,23205.0
2020-09-09,23203.0
2020-09-10,23211.0
2020-09-11,23206.0
2020-09-12,23206.0
2020-09-14,23208.0
2020-09-15,23203.0
2020-09-16,23198.0
2020-09-17,23193.0
2020-09-18,23196.0
2020-09-19,23196.0
2020-09-21,23191.0
2020-09-22,23200.0
2020-09-23,23213.0
2020-09-24,23218.0
2020-09-25,23223.0
2020-09-26,23223.0
2020-09-28,23226.0
2020-09-29,23220.0
2020-09-30,23215.0
2020-10-01,23213.0
2020-10-02,23214.0
2020-10-03,23214.0
2020-10-05,23212.0
2020-10-06,23208.0
2020-10-07,23205.0
2020-10-08,23203.0
2020-10-09,23198.0
2020-10-10,23198.0
2020-10-12,23193.0
2020-10-13,23195.0
2020-10-14,23197.0
2020-10-15,23192.0
