date,interest_rate
26/12/2022,3.25
27/12/2022,3.36
28/12/2022,3.2
29/12/2022,2.81
03/01/2023,5.06
06/01/2023,5.09
10/01/2023,5.23
11/01/2023,5.59
12/01/2023,5.95
16/01/2023,6.48
17/01/2023,6.34
19/01/2023,6.09
27/01/2023,6.13
30/01/2023,6.17
31/01/2023,6.23
01/02/2023,6.26
02/02/2023,6.26
03/02/2023,6.21
06/02/2023,6.05
08/02/2023,5.72
09/02/2023,5.39
10/02/2023,4.91
13/02/2023,4.55
14/02/2023,4.05
16/02/2023,4.71
20/02/2023,4.54
21/02/2023,4.81
22/02/2023,6.11
23/02/2023,6.15
24/02/2023,6.06
27/02/2023,5.77
28/02/2023,5.24
01/03/2023,5.97
02/03/2023,6.38
03/03/2023,6.4
06/03/2023,6.22
07/03/2023,6.07
08/03/2023,5.98
09/03/2023,6.22
10/03/2023,6.22
13/03/2023,6.17
14/03/2023,5.72
15/03/2023,5.06
16/03/2023,4.14
17/03/2023,3.4
20/03/2023,2.7
21/03/2023,2.05
22/03/2023,1.55
23/03/2023,1.34
24/03/2023,1.14
27/03/2023,1.06
28/03/2023,0.98
30/03/2023,0.9
31/03/2023,1.12
03/04/2023,2.12
04/04/2023,2.48
05/04/2023,3.41
07/04/2023,5.06
10/04/2023,5.19
11/04/2023,5.22
12/04/2023,5.32
13/04/2023,5.49
17/04/2023,5.52
18/04/2023,5.3
19/04/2023,4.48
20/04/2023,3.78
21/04/2023,3.29
24/04/2023,3.84
25/04/2023,6.26
26/04/2023,4.82
27/04/2023,4.12
28/04/2023,4.12
04/05/2023,5
05/05/2023,5.05
09/05/2023,5.07
10/05/2023,4.84
11/05/2023,4.83
12/05/2023,4.88
15/05/2023,4.92
16/05/2023,4.94
18/05/2023,4.64
19/05/2023,4.49
23/05/2023,4.42
25/05/2023,4.14
26/05/2023,4.07
29/05/2023,3.96
30/05/2023,3.77
01/06/2023,4.07
02/06/2023,4.02
05/06/2023,3.92
06/06/2023,3.75
07/06/2023,3.51
08/06/2023,3.1
09/06/2023,2.69
12/06/2023,2.4
13/06/2023,2.02
14/06/2023,1.65
15/06/2023,1.3
16/06/2023,0.94
19/06/2023,0.73
20/06/2023,0.55
21/06/2023,0.55
22/06/2023,0.91
23/06/2023,1.08
27/06/2023,0.89
28/06/2023,0.69
29/06/2023,0.39
03/07/2023,0.66
05/07/2023,0.64
06/07/2023,0.61
07/07/2023,0.42
10/07/2023,0.34
11/07/2023,0.26
12/07/2023,0.21
13/07/2023,0.16
14/07/2023,0.14
17/07/2023,0.15
19/07/2023,0.34
20/07/2023,0.25
21/07/2023,0.19
24/07/2023,0.2
25/07/2023,0.2
26/07/2023,0.21
28/07/2023,0.2
31/07/2023,0.19
01/08/2023,0.22
02/08/2023,0.22
03/08/2023,0.22
04/08/2023,0.22
08/08/2023,0.21
09/08/2023,0.21
10/08/2023,0.2
11/08/2023,0.2
14/08/2023,0.19
15/08/2023,0.2
16/08/2023,0.21
17/08/2023,0.2
21/08/2023,0.19
22/08/2023,0.17
23/08/2023,0.17
24/08/2023,0.17
25/08/2023,0.17
28/08/2023,0.17
29/08/2023,0.16
30/08/2023,0.16
31/08/2023,0.16
05/09/2023,0.19
06/09/2023,0.18
07/09/2023,0.17
11/09/2023,0.17
12/09/2023,0.16
13/09/2023,0.16
14/09/2023,0.16
15/09/2023,0.15
18/09/2023,0.15
19/09/2023,0.15
20/09/2023,0.16
21/09/2023,0.14
22/09/2023,0.17
25/09/2023,0.17
26/09/2023,0.16
27/09/2023,0.16
28/09/2023,0.15
29/09/2023,0.19
02/10/2023,0.55
03/10/2023,0.74
04/10/2023,1.13
05/10/2023,1.32
06/10/2023,1.14
09/10/2023,0.95
10/10/2023,0.66
11/10/2023,0.37
13/10/2023,0.35
16/10/2023,0.71
17/10/2023,0.76
18/10/2023,0.78
19/10/2023,0.79
20/10/2023,1.47
23/10/2023,2.22
25/10/2023,2.74
26/10/2023,1.89
27/10/2023,1.37
30/10/2023,0.96
31/10/2023,0.81
01/11/2023,1.05
02/11/2023,0.99
03/11/2023,0.93
06/11/2023,0.93
07/11/2023,0.95
08/11/2023,0.83
09/11/2023,0.73
10/11/2023,0.62
13/11/2023,0.52
14/11/2023,0.36
15/11/2023,0.26
16/11/2023,0.21
17/11/2023,0.18
21/11/2023,0.15
22/11/2023,0.15
23/11/2023,0.15
24/11/2023,0.14
27/11/2023,0.14
28/11/2023,0.14
29/11/2023,0.14
30/11/2023,0.14
01/12/2023,0.17
04/12/2023,0.16
05/12/2023,0.16
06/12/2023,0.15
07/12/2023,0.15
08/12/2023,0.15
11/12/2023,0.15
12/12/2023,0.15
13/12/2023,0.15
14/12/2023,0.16
15/12/2023,0.15
18/12/2023,0.15
19/12/2023,0.16
20/12/2023,0.18
21/12/2023,0.18
