date,interest_rate
2019-12-30,1.3
2019-12-31,1.43
2020-01-02,2.44
2020-01-03,1.99
2020-01-07,1.31
2020-01-08,1.1
2020-01-09,0.93
2020-01-10,0.79
2020-01-13,0.75
2020-01-14,0.74
2020-01-15,0.71
2020-01-16,0.82
2020-01-17,2.58
2020-01-20,2.89
2020-01-21,3.16
2020-01-22,3.15
2020-01-30,2.85
2020-01-31,3.08
2020-02-03,3.15
2020-02-04,3.1
2020-02-05,2.81
2020-02-06,2.6
2020-02-07,2.33
2020-02-10,2.25
2020-02-11,2.29
2020-02-12,2.21
2020-02-13,2.05
2020-02-14,2
2020-02-17,1.91
2020-02-18,1.88
2020-02-19,1.9
2020-02-20,2.07
2020-02-21,2.09
2020-02-24,2.21
2020-02-25,2.51
2020-02-26,2.39
2020-02-27,2.1
2020-02-28,2.02
2020-03-02,2.05
2020-03-03,2.03
2020-03-04,1.99
2020-03-05,1.96
2020-03-06,2.01
2020-03-09,2.22
2020-03-10,2.37
2020-03-11,2.44
2020-03-12,2.48
2020-03-13,2.33
2020-03-16,2.24
2020-03-17,2.11
2020-03-18,2.02
2020-03-19,1.95
2020-03-20,1.86
2020-03-23,1.89
2020-03-24,1.87
2020-03-25,1.86
2020-03-26,1.9
2020-03-27,2.07
2020-03-30,2.19
2020-03-31,2.44
2020-04-01,3.27
2020-04-03,3.53
2020-04-06,3.56
2020-04-07,3.2
2020-04-08,2.7
2020-04-09,2.33
2020-04-10,1.93
2020-04-13,1.74
2020-04-14,1.7
2020-04-15,1.77
2020-04-16,1.63
2020-04-17,1.59
2020-04-20,1.75
2020-04-21,2.49
2020-04-22,2.55
2020-04-23,2.29
2020-04-24,2.04
2020-04-27,1.92
2020-04-28,1.94
2020-04-29,2.11
2020-05-04,2
2020-05-05,2.24
2020-05-06,2.13
2020-05-07,1.97
2020-05-08,1.75
2020-05-11,1.6
2020-05-12,1.52
2020-05-13,1.38
2020-05-14,1.26
2020-05-15,1.19
2020-05-18,1.02
2020-05-19,0.88
2020-05-20,0.6
2020-05-21,0.47
2020-05-22,0.41
2020-05-25,0.47
2020-05-26,0.4
2020-05-27,0.33
2020-05-28,0.28
2020-05-29,0.3
2020-06-01,0.46
2020-06-02,0.38
2020-06-03,0.33
2020-06-04,0.27
2020-06-05,0.25
2020-06-08,0.23
2020-06-09,0.2
2020-06-10,0.18
2020-06-11,0.16
2020-06-12,0.18
2020-06-15,0.17
2020-06-16,0.17
2020-06-17,0.17
2020-06-18,0.15
2020-06-19,0.13
2020-06-22,0.14
2020-06-23,0.15
2020-06-24,0.15
2020-06-25,0.13
2020-06-26,0.13
2020-06-29,0.12
2020-06-30,0.15
2020-07-01,0.13
2020-07-02,0.12
2020-07-03,0.12
2020-07-06,0.13
2020-07-07,0.13
2020-07-08,0.13
2020-07-09,0.14
2020-07-10,0.15
2020-07-13,0.15
2020-07-14,0.14
2020-07-15,0.14
2020-07-16,0.13
2020-07-17,0.14
2020-07-20,0.15
2020-07-21,0.15
2020-07-22,0.15
2020-07-23,0.14
2020-07-24,0.15
2020-07-27,0.19
2020-07-28,0.24
2020-07-29,0.24
2020-07-30,0.2
2020-07-31,0.21
2020-08-03,0.25
2020-08-04,0.25
2020-08-05,0.25
2020-08-06,0.24
2020-08-07,0.22
2020-08-10,0.22
2020-08-11,0.21
2020-08-12,0.19
2020-08-13,0.18
2020-08-14,0.18
2020-08-17,0.19
2020-08-18,0.2
2020-08-19,0.2
2020-08-20,0.19
2020-08-21,0.19
2020-08-24,0.19
2020-08-25,0.19
2020-08-26,0.19
2020-08-27,0.19
2020-08-28,0.18
2020-08-31,0.16
2020-09-01,0.16
2020-09-03,0.16
2020-09-04,0.16
2020-09-07,0.15
2020-09-08,0.15
2020-09-09,0.15
2020-09-10,0.15
2020-09-11,0.14
2020-09-14,0.14
2020-09-15,0.14
2020-09-16,0.13
2020-09-17,0.11
2020-09-18,0.11
2020-09-21,0.11
2020-09-22,0.11
2020-09-23,0.1
2020-09-24,0.11
2020-09-25,0.11
2020-09-28,0.11
2020-09-29,0.11
2020-09-30,0.13
2020-10-01,0.11
2020-10-02,0.11
2020-10-05,0.11
2020-10-06,0.1
2020-10-07,0.1
2020-10-08,0.1
2020-10-09,0.1
2020-10-12,0.1
2020-10-13,0.1
2020-10-14,0.1
2020-10-15,0.1
2020-10-16,0.1
2020-10-19,0.1
2020-10-20,0.11
2020-10-21,0.1
2020-10-22,0.1
2020-10-23,0.1
2020-10-26,0.11
2020-10-27,0.1
2020-10-28,0.1
2020-10-29,0.1
2020-10-30,0.11
2020-11-02,0.1
2020-11-03,0.1
2020-11-04,0.11
2020-11-05,0.12
2020-11-06,0.12
2020-11-09,0.11
2020-11-10,0.11
2020-11-11,0.11
2020-11-12,0.11
2020-11-13,0.11
2020-11-16,0.11
2020-11-17,0.11
2020-11-18,0.11
2020-11-19,0.11
2020-11-20,0.11
2020-11-23,0.11
2020-11-24,0.1
2020-11-25,0.1
2020-11-26,0.11
2020-11-27,0.1
2020-11-30,0.1
2020-12-01,0.1
2020-12-02,0.1
2020-12-03,0.11
2020-12-04,0.11
2020-12-07,0.11
2020-12-08,0.11
2020-12-09,0.11
2020-12-10,0.1
2020-12-11,0.11
2020-12-14,0.11
2020-12-15,0.1
2020-12-16,0.1
2020-12-17,0.1
2020-12-18,0.11
2020-12-21,0.11
2020-12-22,0.11
2020-12-23,0.11
2020-12-24,0.11
2020-12-25,0.12
2020-12-28,0.12
2020-12-29,0.13
2020-12-30,0.13
2020-12-31,0.15
2021-01-04,0.15
2021-01-05,0.13
2021-01-06,0.11
2021-01-07,0.11
2021-01-08,0.11
2021-01-11,0.11
2021-01-12,0.1
2021-01-13,0.1
2021-01-14,0.1
2021-01-15,0.11
2021-01-18,0.11
2021-01-19,0.1
2021-01-20,0.1
2021-01-21,0.1
2021-01-22,0.1
2021-01-25,0.1
2021-01-26,0.11
2021-01-27,0.11
2021-01-28,0.14
2021-01-29,0.33
2021-02-01,0.6
2021-02-02,1.68
2021-02-03,2.52
2021-02-04,2.08
2021-02-05,2.09
2021-02-08,2.86
2021-02-09,2.3
2021-02-17,2.11
2021-02-18,1.34
2021-02-19,0.66
2021-02-22,0.42
2021-02-23,0.37
2021-02-24,0.33
2021-02-25,0.29
2021-02-26,0.34
2021-03-01,0.4
2021-03-02,0.35
2021-03-03,0.31
2021-03-04,0.29
2021-03-05,0.28
2021-03-08,0.29
2021-03-09,0.29
2021-03-10,0.29
2021-03-11,0.28
2021-03-12,0.28
2021-03-15,0.29
2021-03-16,0.28
2021-03-17,0.28
2021-03-18,0.27
2021-03-19,0.26
2021-03-22,0.27
2021-03-23,0.26
2021-03-24,0.26
2021-03-25,0.25
2021-03-26,0.26
2021-03-29,0.37
2021-03-30,0.24
2021-03-31,0.26
2021-04-01,0.25
2021-04-02,0.26
2021-04-05,0.25
2021-04-06,0.29
2021-04-07,0.29
2021-04-08,0.3
2021-04-09,0.31
2021-04-12,0.4
2021-04-13,0.43
2021-04-14,0.41
2021-04-15,0.41
2021-04-16,0.43
2021-04-19,0.43
2021-04-20,0.44
2021-04-22,0.42
2021-04-23,0.44
2021-04-26,0.77
2021-04-27,1.05
2021-04-28,1.2
2021-04-29,0.9
2021-05-04,0.95
2021-05-05,1.14
2021-05-06,1.29
2021-05-07,1.21
2021-05-10,1.24
2021-05-11,1.25
2021-05-12,1.23
2021-05-13,1.24
2021-05-14,1.22
2021-05-17,1.2
2021-05-18,1.22
2021-05-19,1.22
2021-05-20,1.24
2021-05-21,1.21
2021-05-24,1.25
2021-05-25,1.35
2021-05-26,1.46
2021-05-27,1.46
2021-05-28,1.42
2021-05-31,1.54
2021-06-01,1.54
2021-06-02,1.48
2021-06-03,1.39
2021-06-04,1.29
2021-06-07,1.16
2021-06-08,1.1
2021-06-09,1.07
2021-06-10,1.01
2021-06-11,0.96
2021-06-14,0.96
2021-06-15,0.98
2021-06-16,0.97
2021-06-17,0.95
2021-06-18,0.99
2021-06-21,1.1
2021-06-22,1.08
2021-06-23,1.14
2021-06-24,1.21
2021-06-25,1.23
2021-06-28,1.19
2021-06-29,1.1
2021-06-30,1.13
2021-07-01,1.09
2021-07-02,1.03
2021-07-05,1
2021-07-06,0.95
2021-07-07,0.9
2021-07-08,0.94
2021-07-09,0.95
2021-07-12,0.94
2021-07-13,0.93
2021-07-14,0.92
2021-07-15,0.93
2021-07-16,0.93
2021-07-19,0.95
2021-07-20,0.95
2021-07-21,0.95
2021-07-22,0.97
2021-07-23,0.96
2021-07-26,0.98
2021-07-27,1
2021-07-28,0.98
2021-07-29,0.94
2021-07-30,0.97
2021-08-02,0.96
2021-08-03,0.96
2021-08-04,0.93
2021-08-05,0.93
2021-08-06,0.92
2021-08-09,0.9
2021-08-10,0.87
2021-08-11,0.83
2021-08-12,0.79
2021-08-13,0.77
2021-08-16,0.75
2021-08-17,0.73
2021-08-18,0.71
2021-08-19,0.69
2021-08-20,0.66
2021-08-23,0.65
2021-08-24,0.64
2021-08-25,0.65
2021-08-26,0.65
2021-08-27,0.64
2021-08-30,0.69
2021-08-31,0.63
2021-09-01,0.5
2021-09-06,0.65
2021-09-07,0.64
2021-09-08,0.64
2021-09-09,0.65
2021-09-10,0.63
2021-09-13,0.64
2021-09-14,0.64
2021-09-15,0.66
2021-09-16,0.64
2021-09-17,0.64
2021-09-20,0.64
2021-09-21,0.68
2021-09-22,0.68
2021-09-23,0.69
2021-09-24,0.68
2021-09-27,0.68
2021-09-28,0.68
2021-09-29,0.67
2021-09-30,0.65
2021-10-01,0.66
2021-10-04,0.65
2021-10-05,0.67
2021-10-06,0.66
2021-10-07,0.67
2021-10-08,0.67
2021-10-11,0.66
2021-10-12,0.67
2021-10-13,0.66
2021-10-14,0.65
2021-10-15,0.65
2021-10-18,0.66
2021-10-19,0.64
2021-10-20,0.65
2021-10-21,0.64
2021-10-22,0.65
2021-10-25,0.65
2021-10-26,0.65
2021-10-27,0.65
2021-10-28,0.61
2021-10-29,0.61
2021-11-01,0.6
2021-11-02,0.6
2021-11-03,0.66
2021-11-04,0.62
2021-11-05,0.62
2021-11-08,0.63
2021-11-09,0.63
2021-11-10,0.63
2021-11-11,0.63
2021-11-12,0.65
2021-11-15,0.65
2021-11-16,0.63
2021-11-17,0.65
2021-11-18,0.64
2021-11-19,0.63
2021-11-22,0.63
2021-11-23,0.63
2021-11-24,0.64
2021-11-25,0.63
2021-11-26,0.64
2021-11-29,0.61
