date,vcb_close,vnindex_close,exchange_rate,interest_rate,gdp,inflation,sp500_close,gdp_growth
2019-12-30,69881.0,965.03,23167.0,1.3,2010887.0,1.4,3221.29,
2019-12-31,69267.0,960.99,23155.0,1.43,2010887.0,1.4,3230.78,0.0
2020-01-02,69728.0,966.67,23150.0,2.44,1188207.0,1.23,3257.85,-0.4091129934203165
2020-01-03,69037.0,965.14,23157.0,1.99,1188207.0,1.23,3234.85,0.0
2020-01-06,67194.0,955.79,23167.0,1.58,1188207.0,1.23,3246.28,0.0
2020-01-07,67424.0,958.88,23174.0,1.31,1188207.0,1.23,3237.18,0.0
2020-01-08,66810.0,948.98,23165.0,1.1,1188207.0,1.23,3253.05,0.0
2020-01-09,68115.0,960.15,23173.0,0.93,1188207.0,1.23,3274.7,0.0
2020-01-10,68730.0,968.54,23166.0,0.79,1188207.0,1.23,3265.35,0.0
2020-01-13,68653.0,965.84,23162.0,0.75,1188207.0,1.23,3288.13,0.0
2020-01-14,68653.0,967.0,23157.0,0.74,1188207.0,1.23,3283.15,0.0
2020-01-15,68576.0,967.56,23158.0,0.71,1188207.0,1.23,3289.29,0.0
2020-01-16,68730.0,974.31,23156.0,0.82,1188207.0,1.23,3316.81,0.0
2020-01-17,72569.0,978.96,23157.0,2.58,1188207.0,1.23,3329.62,0.0
2020-01-20,72185.0,978.63,23155.0,2.89,1188207.0,1.23,3965.03,0.0
2020-01-21,72185.0,986.37,23158.0,3.16,1188207.0,1.23,3320.79,0.0
2020-01-22,71724.0,991.46,23170.0,3.15,1188207.0,1.23,3321.75,0.0
2020-01-30,68269.0,959.58,23185.0,2.85,1188207.0,1.23,3283.66,0.0
2020-01-31,68115.0,936.62,23196.0,3.08,1188207.0,1.23,3225.52,0.0
2020-02-03,68115.0,928.14,23201.0,3.15,1188207.0,-0.17,3248.92,0.0
2020-02-04,68960.0,929.09,23206.0,3.1,1188207.0,-0.17,3297.59,0.0
2020-02-05,68269.0,925.91,23196.0,2.81,1188207.0,-0.17,3334.69,0.0
2020-02-06,68653.0,938.54,23201.0,2.6,1188207.0,-0.17,3345.78,0.0
2020-02-07,69114.0,940.75,23201.0,2.33,1188207.0,-0.17,3327.71,0.0
2020-02-10,68269.0,930.73,23211.0,2.25,1188207.0,-0.17,3352.09,0.0
2020-02-11,68499.0,934.67,23217.0,2.29,1188207.0,-0.17,3357.75,0.0
2020-02-12,68653.0,937.68,23208.0,2.21,1188207.0,-0.17,3379.45,0.0
2020-02-13,68576.0,938.24,23206.0,2.05,1188207.0,-0.17,3373.94,0.0
2020-02-14,68576.0,937.45,23215.0,2.0,1188207.0,-0.17,3380.16,0.0
2020-02-17,68653.0,934.77,23218.0,1.91,1188207.0,-0.17,3880.32,0.0
2020-02-18,68653.0,927.93,23214.0,1.88,1188207.0,-0.17,3370.29,0.0
2020-02-19,68730.0,928.76,23228.0,1.9,1188207.0,-0.17,3386.15,0.0
2020-02-20,68730.0,938.13,23234.0,2.07,1188207.0,-0.17,3373.23,0.0
2020-02-21,68346.0,933.09,23239.0,2.09,1188207.0,-0.17,3337.75,0.0
2020-02-24,66963.0,903.34,23243.0,2.21,1188207.0,-0.17,3225.89,0.0
2020-02-25,66195.0,909.67,23245.0,2.51,1188207.0,-0.17,3128.21,0.0
2020-02-26,65274.0,895.97,23239.0,2.39,1188207.0,-0.17,3116.39,0.0
2020-02-27,64506.0,898.44,23234.0,2.1,1188207.0,-0.17,2978.76,0.0
2020-02-28,63277.0,882.19,23224.0,2.02,1188207.0,-0.17,2954.22,0.0
2020-03-02,62817.0,884.43,23219.0,2.05,1188207.0,-0.72,3090.23,0.0
2020-03-03,63124.0,890.61,23209.0,2.03,1188207.0,-0.72,3003.37,0.0
2020-03-04,62740.0,889.37,23204.0,1.99,1188207.0,-0.72,3130.12,0.0
2020-03-05,63815.0,893.31,23203.0,1.96,1188207.0,-0.72,3023.94,0.0
2020-03-06,64890.0,891.44,23197.0,2.01,1188207.0,-0.72,2972.37,0.0
2020-03-09,60359.0,835.49,23195.0,2.22,1188207.0,-0.72,2746.56,0.0
2020-03-10,61357.0,837.5,23190.0,2.37,1188207.0,-0.72,2882.23,0.0
2020-03-11,59130.0,811.35,23198.0,2.44,1188207.0,-0.72,2741.38,0.0
2020-03-12,55060.0,769.25,23197.0,2.48,1188207.0,-0.72,2480.64,0.0
2020-03-13,54523.0,761.78,23212.0,2.33,1188207.0,-0.72,2711.02,0.0
2020-03-16,51528.0,747.86,23222.0,2.24,1188207.0,-0.72,2386.13,0.0
2020-03-17,51835.0,745.78,23227.0,2.11,1188207.0,-0.72,2529.19,0.0
2020-03-18,53217.0,747.66,23232.0,2.02,1188207.0,-0.72,2398.1,0.0
2020-03-19,50683.0,725.94,23242.0,1.95,1188207.0,-0.72,2409.39,0.0
2020-03-20,47228.0,709.73,23252.0,1.86,1188207.0,-0.72,2304.92,0.0
2020-03-23,43925.0,666.59,23259.0,1.89,1188207.0,-0.72,2237.4,0.0
2020-03-24,44540.0,659.21,23260.0,1.87,1188207.0,-0.72,2447.33,0.0
2020-03-25,47612.0,690.25,23250.0,1.86,1188207.0,-0.72,2475.56,0.0
2020-03-26,48533.0,694.21,23245.0,1.9,1188207.0,-0.72,2630.07,0.0
2020-03-27,49224.0,696.06,23235.0,2.07,1188207.0,-0.72,2541.47,0.0
2020-03-30,46844.0,662.26,23230.0,2.19,1188207.0,-0.72,2626.65,0.0
2020-03-31,47612.0,662.53,23235.0,2.44,1188207.0,-0.72,2584.59,0.0
2020-04-01,49915.0,680.23,23232.0,3.27,1382995.0,-1.54,2470.5,0.1639343986359279
2020-04-03,50299.0,701.8,23239.0,3.53,1382995.0,-1.54,2488.65,0.0
2020-04-06,52219.0,736.75,23234.0,3.56,1382995.0,-1.54,2663.68,0.0
2020-04-07,52373.0,746.69,23230.0,3.2,1382995.0,-1.54,2659.41,0.0
2020-04-08,51835.0,748.02,23225.0,2.7,1382995.0,-1.54,2749.98,0.0
2020-04-09,54523.0,760.33,23235.0,2.33,1382995.0,-1.54,2789.82,0.0
2020-04-10,54216.0,757.94,23221.0,1.93,1382995.0,-1.54,3849.62,0.0
2020-04-13,54369.0,765.79,23216.0,1.74,1382995.0,-1.54,2761.63,0.0
2020-04-14,53678.0,767.41,23223.0,1.7,1382995.0,-1.54,2846.06,0.0
2020-04-15,54446.0,777.22,23227.0,1.77,1382995.0,-1.54,2783.36,0.0
2020-04-16,54676.0,780.7,23236.0,1.63,1382995.0,-1.54,2799.55,0.0
2020-04-17,54830.0,789.6,23241.0,1.59,1382995.0,-1.54,2874.56,0.0
2020-04-20,55214.0,794.97,23238.0,1.75,1382995.0,-1.54,2823.16,0.0
2020-04-21,54907.0,766.84,23246.0,2.49,1382995.0,-1.54,2736.56,0.0
2020-04-22,53217.0,768.92,23256.0,2.55,1382995.0,-1.54,2799.31,0.0
2020-04-23,53141.0,773.91,23261.0,2.29,1382995.0,-1.54,2797.8,0.0
2020-04-24,52910.0,776.66,23272.0,2.04,1382995.0,-1.54,2836.74,0.0
2020-04-27,51298.0,770.77,23272.0,1.92,1382995.0,-1.54,2878.48,0.0
2020-04-28,51451.0,767.21,23262.0,1.94,1382995.0,-1.54,2863.39,0.0
2020-04-29,52219.0,769.11,23257.0,2.11,1382995.0,-1.54,2939.51,0.0
2020-05-04,51758.0,762.47,23247.0,2.0,1382995.0,-0.03,2842.74,0.0
2020-05-05,51298.0,764.16,23262.0,2.24,1382995.0,-0.03,2868.44,0.0
