Link,Name,Brand,Price,Sale,Stars,Coupon,5 stars,4 stars,3 stars,2 stars,1 star,Reviews
https://tiki.vn/bo-noi-inox-3-day-sunhouse-sh335-16cm-20cm-24cm-dung-tren-moi-loai-bep-hang-chinh-hang-p25421013.html?spid=25421014,"Bộ Nồi Inox 3 Đáy Sunhouse SH335(16cm, 20cm, 24cm ) - Dùng trên mọi loại bếp - Hàng chính hãng",Sunhouse,445.000₫,Đã bán 5000+,4.6,"['Giảm 20K Cho đơn hàng từ 299K', 'Giảm 40K Cho đơn hàng từ 499K', 'Giảm 50K Cho đơn hàng từ 600K', 'Giảm 100K Cho đơn hàng từ 999K', 'Giảm 300K Cho đơn hàng từ 2.3 triệu']",110,20,8,3,2,"['Trong lúc rửa nồi lần đầu để sử dụng thì bị đứt tay nên phát hiện tay cầm trên nắp của nồi lớn chưa được mài kỹ, có một đoạn răng cưa rất bén gây đứt tay chảy máu khi sử dụng. Cần tiki hỗ trợ đổi lại nắp nồi size 24cm giúp tôi ', 'Chat lượng inox kem rất mỏng.noi chung that vọng ve chat lượng', 'hàng *** giờ đổi trả ntn đây m1 mang bực vào ng', 'Đế nồi Khá mỏng. Không giống như hình.', 'NỒI NẤU LẦN ĐẦU TIỀN ĐÃ BỊ Ố VÀNG THÀNH NỒI, KHÔNG RỬA RA DC, MỌI NGƯỜI KO NÊN MUA.']"
https://tiki.vn/bo-noi-inox-3-day-sunhouse-sh334-p2039747.html?spid=10005396,Bộ Nồi Inox 3 Đáy Sunhouse SH334,Sunhouse,536.000₫,Đã bán 2904,4.5,"['Giảm 40K Cho đơn hàng từ 499K', 'Giảm 20K Cho đơn hàng từ 299K', 'Giảm 50K Cho đơn hàng từ 600K', 'Giảm 100K Cho đơn hàng từ 999K', 'Giảm 300K Cho đơn hàng từ 2.3 triệu']",67,18,2,3,4,"['sản phẩm chất lượng QUÁ TỆ . Chỉ mới mua về thử đun nước sôi bằng bếp điện từ thôi mà đáy nồi đã bong tróc ra như thế này , ảnh hưởng tới sức khỏe người tiêu dùng . Yêu cầu sunhouse thu hồi sản phẩm và xử lý ', '1. Giao quá chậm, đặt từ tháng 8 đến tháng 11 mới giao hàng.\n2. Cả 3 cái nồi đều dán tem bên hông và mặt dưới, cực kì khó bóc ra, quá bất tiện.', 'Sản phẩm quá mỏng, thùng bao bì kg đúng lô hàng nhà sản xuất', '- Nấu bếp từ đáy nồi bị móp lên , giờ nồi dáy chổ cao chổ thấp\n- Đáy nồi không dày như mong đợi\n- Khó chiên, dễ cháy nồi và khó tẩy rửa \n\nRẤT THẤT VỌNG', 'đóng gói cẩn thận nhưng hàng thì k đúng nồi 3 đáy nhưng khi nhận thì k phải', 'Nồi hơi bé.đun to lửa hay bị cháy cạnh nồi.nắp nồi thì bị bắn nước ra ngoài.', 'sản phẩm tệ mới nấu thức ăn 2 lần đã thấy bám những vết cháy vàng vàng quanh nồi rồi']"
https://tiki.vn/noi-hap-inox-3-tang-p129143705.html?spid=193656160,Nồi Hấp Inox 3 Tầng,OEM,132.000₫,Đã bán 2154,5.0,,5,0,0,0,0,
https://tiki.vn/chao-chong-dinh-inox-day-tu-nguyen-khoi-day-lien-elmich-trimax-classic-el-2702ol-size-24cm-p195111061.html?spid=195111062,Chảo chống dính Inox đáy từ nguyên khối đáy liên Elmich Trimax Classic EL-2702OL size 24cm,Elmich,331.000₫,Đã bán 294,5.0,"['Giảm 10% Cho đơn hàng từ 399K', 'Giảm 150K Cho đơn hàng từ 1.5 triệu', 'Giảm 200K Cho đơn hàng từ 2 triệu', 'Giảm 300K Cho đơn hàng từ 3 triệu', 'Giảm 400K Cho đơn hàng từ 4 triệu']",27,2,0,0,0,
https://tiki.vn/chao-sau-long-nag2653-day-tu-5-lop-chong-dinh-vung-kinh-sieu-ben-nagakawa-26cm-dung-tren-moi-loai-bep-hang-chinh-hang-p32178097.html?spid=32178098,Chảo Sâu Lòng NAG2653 Đáy Từ 5 Lớp Chống Dính Vung Kính Siêu Bền Nagakawa (26cm) - Dùng Trên Mọi Loại Bếp - Hàng Chính Hãng,Nagakawa,349.000₫,Đã bán 3012,4.7,"['Giảm 30K Cho đơn hàng từ 349K', 'Giảm 15K Cho đơn hàng từ 299K', 'Giảm 50K Cho đơn hàng từ 699K', 'Giảm 80K Cho đơn hàng từ 799K', 'Giảm 150K Cho đơn hàng từ 1.5 triệu', 'Giảm 180K Cho đơn hàng từ 2 triệu']",642,114,24,14,15,"['Mình vừa nhận được chảo, mở ra xem và rất thích khi thấy hình thức chảo rất đẹp, nhưng náp kinh lại ko được lắp sẵn núm như trong hình quảng cáo. Nv giao hàng chỉ cho mình túi ốc vít bên trong và bảo mình tự lắp. Nhưng thật đáng sợ là khi mình vừa xếp khít được mấy cái vòng đệm và bắt đầu vặn ốc cho núm khớp với vung thì đột ngọt vung kính vỡ tung ra từng mảnh, bắn tung tóe ra xung quanh, một vài mảnh nhỏ bắn cả  vào cổ và tay mình làm rớm máu! Tại sao vung kinh lại dễ vỡ và tiềm ẩn nguy hiểm như vậy với người dùng? May là vỡ khi chưa dùng, chứ đang nấu ăn mà vỡ tung như vậy thì..Sợ quá, như một quả bom thủy tinh vậy! ', 'Nhận hàng bị móp méo, lõm.', 'Mua 2 đơn, 1 đơn ấm siêu tốc thì bị vỡ, đơn chảo này thì bóc ra có sẵn 2 vết xước nhỏ trong chảo. Chưa bh thấy thất vọng với Tiki như vậy!', 'Chảo bị móp, không đậy nắp được', 'sản phẩm lỗi phần đáy,nắp thì móp yêu cầu hổ trợ đổi lại sản phẩm khác', 'Mới rửa xong cầm lên gãy tay cầm nắp rồi.', 'Mua 2 đơn, 1 đơn ấm siêu tốc thì bị vỡ, đơn chảo này thì bóc ra có sẵn 2 vết xước nhỏ trong chảo. Chưa bh thấy thất vọng với Tiki như vậy!', 'Chảo bị móp, không đậy nắp được', 'sản phẩm lỗi phần đáy,nắp thì móp yêu cầu hổ trợ đổi lại sản phẩm khác', 'Giao hàng lâu: đặt từ 10/10 theo dự kiến là 20/10 giao mà hôm nay 28/10 mới nhận đc', 'chảo bị móp đến nỗi không đóng nắp được, đổi cho mình cái khác', 'Mua giá 300k hơi tiếc, vì chảo ko dc xuất sắc lắm. Lòng chảo ko dc phẳng, chiên bị tràn dầu sang 2 bên nên rất khó chiên đều được.', 'chảo tốt nhưng bỏ bếp từ chiên dầu chải qua hai bên.... lòng chảo nhô lên khó chiên cá.. chất liệu tốt', 'nắp bị hỏng, k siết được chặt, làm ăn tệ. Muốn đổi trả hàng.', 'Nấu mới 2 lần xào qua xào lại đã trót lớp chống dính rồi', 'Tưởng the nao binh thuong', 'Vừa lắp vào đã nứt. Quá tệ.', 'chảo giao bị móp méo nên trả lại', 'Chảo đẹp như quảng cáo , nên mua', 'tróc sơn, nắp lỏng.......', 'chảo ok,nhưng giao hàng quá lâu nãn dễ sợ', 'gửi trả lại Chao. chien ca hoài ko vang. ngồi chờ doi mất thời gian', 'Phân giua long chao bi nho len', 'sản phẩm chất lượng không tốt như quảng cáo', 'Chảo không bắt từ trên bếp, méo, mỏng......................Tôi đã trả lại', 'sản phẩm tốt giao hàng tận tinh', 'Cung ổn.dag sai nen chua bjt ben ko', 'mặt chảo tróc sau vài lần xài', 'Lừa đảo Ko đúng chất lượng']"
https://tiki.vn/bo-noi-xung-hap-28cm-dung-duoc-bep-tu-p81763153.html?spid=186477912,"BỘ NỒI XỬNG HẤP 28CM, DÙNG ĐƯỢC BẾP TỪ",OEM,433.677₫,Đã bán 572,4.0,,0,1,0,0,0,
https://tiki.vn/bo-dao-nha-bep-nhat-6-mon-cao-cap-chinh-hang-dododios-p172940012.html?spid=172940013,"Bộ Dao Nhà Bếp Nhật 6 Món Cao Cấp - Chính hãng DODODIOS, dao nhà bếp Nhật Bản - Logo trên thân dao ngẫu nhiên",dododios,184.000₫,Đã bán 1484,4.5,,46,17,1,4,3,"['chống rỉ sét đây 🤣, sài vài lần thua con dao thái mua ngoài chợ gần 3 năm.', 'Mỏng dính, kệ giá để như đồ chơi, thà không mua còn hơn mua về như rước phiền toái vào thân!', 'Sản phẩm quá tệ dao nhẹ mới chặt đã mẻ', '']"
https://tiki.vn/bo-noi-inox-1-day-sunhouse-sh224-p10775990.html?spid=10775991,Bộ 3 Nồi Inox 1 Đáy Sunhouse SH224 Dùng Mọi Bếp (16-18-24cm) - Chính Hãng,Sunhouse,325.000₫,Đã bán 874,3.9,,8,2,2,1,2,"['hàng kém chất lượng. nồi bị méo thùng không hỏng nhưng nồi thì hỏng', 'Chat luong Khong tot lam.', '']"
https://tiki.vn/chao-nhom-sau-long-chong-dinh-lock-lock-baum-marble-1-tay-cam-nap-thuy-tinh-lbu1285-28cm-p7699064.html?spid=7699065,"Chảo Nhôm Sâu Lòng Chống Dính Lock&Lock Baum Marble 1 Tay Cầm, Nắp Thủy Tinh LBU1285 (28cm)",LocknLock,399.000₫,Đã bán 2350,4.6,"['Giảm 20K Cho đơn hàng từ 399K', 'Giảm 10K Cho đơn hàng từ 250K', 'Giảm 100K Cho đơn hàng từ 600K', 'Giảm 50K Cho đơn hàng từ 799K', 'Giảm 70K Cho đơn hàng từ 1.5 triệu', 'Giảm 100K Cho đơn hàng từ 2 triệu', 'Giảm 150K Cho đơn hàng từ 3 triệu']",301,58,10,4,18,"['Mua 2 chảo của Lock&lock, 1 cái thì ghi Lock&lock, 1 cái thì Locknlock ? và đều cùng 1 nhà sản xuất. chẳng lẽ có 2 nhãn hiệu?? đồng thời 1 cái nhận được thì bị móp như hình,may không bể nắp nên dùng luôn,mất công đổi trả. ', 'Có thể mình nhận phải hàng trả lại của bạn nào đặt trước đó nhưng bị méo nên trả lại.\nMình ko để ý nên bóc tem sản phẩm ko thì cũng đổi lại', 'Thời gian giao hàng rất nhanh. Tuy nhiên chảo bị méo. Mình tin tưởng tiki nên k kiểm tra kĩ, đến lúc dùng mới biết nắp đậy không kín được. Giờ tháo thùng ra hết rồi nên chắc k đổi được nữa :(', 'Cho mình hỏi mới lấy sản phẩm về mọi thứ oke hết nhưng chảo bị méo nên ko đậy naows vung kín đc.có thể đổi hàng lại ko bạn?']"
https://tiki.vn/bo-noi-5-day-cao-cap-num-vang-sunhouse-sh781-quay-ma-vang-cao-cap-16cm-20cm-24cm-dung-cho-moi-loai-bep-hang-chinh-hang-p579962.html?spid=580004,"Bộ Nồi 5 Đáy Cao Cấp Núm Vàng Sunhouse SH781 Quay Mạ Vàng Cao Cấp (16cm, 20cm, 24cm) - Dùng Cho Mọi Loại Bếp - Hàng Chính Hãng",Sunhouse,544.000₫,Đã bán 5000+,4.6,"['Giảm 40K Cho đơn hàng từ 499K', 'Giảm 20K Cho đơn hàng từ 299K', 'Giảm 50K Cho đơn hàng từ 600K', 'Giảm 100K Cho đơn hàng từ 999K', 'Giảm 300K Cho đơn hàng từ 2.3 triệu']",440,110,21,7,11,"['mình đặt mua nồi này vào tháng 11 cho mẹ ở quê, mẹ cất, mới lấy ra dùng 1-2 lần mà nồi bị như vầy, mà gửi hình cho tiki xem thì bảo không vệ sinh kịp thời. không thể hiểu nổi, 1 bà nội trợ lâu năm làm sao không biết những điều này, trong khi nồi chỉ được nấu bình thường như những cái khác thôi, mà mấy cái kia có bị như vậy đâu. thế là mất mấy trăm ngàn cho sự tin tưởng tiki. nhà mình đã dẹp hết mấy cái còn lại trong bộ nồi và không dám xài nữa, lỡ có chất gì nó ra nấu ăn bệnh còn hơn. THẤT VỌNG VỚI TIKI ', 'nấu canh đúng 3 lần thì thân nồi bên trong giống như bị quá nhiệt xuất hiện hiện tượng cháy nám, ví chịu nhiệt độ cao không nổi.Nấu bằng bếp ga.Thật là đáng tiếc cho 1 sản phẩm đắt tiền mà kém chất lượng.Cho nên mới nói không an tâm khi dùng hàng Việt Nam chất lượng cao! ', 'Mới nhận sáng nay nấu thử nước nóng nấu mì mà nồi nó đen như vậy hả trời', 'mình mới mua nồi này. không hiểu có phải chính hãng không hay hàng giả hay là chất lượng quá kém, nồi inox mà chỉ mới nấu vài lần đã ố vàng không thể chùi rửa được . đáy nồi 5 lớp mà giờ nấu kêu nổ nổ như kiểu muốn làm thủng đáy rồi. nắp nồi phải ấn mạnh mới khít  rất nguy hiểm khi phải dùng lực mạnh mới mở ra đc. quá thất vọng ', 'Hàng y hình, nhưng đóng gói sơ sài. Chất lượng sp kém, đã sd thử. Nồi 5 đáy nhưng dễ bị cháy, mới nấu thử bị cháy đen và vàng hết đáy nồi.😥', 'nồi dùng 1 lần đã gỉ sét, chất liệu kém', 'Nồi nấu khi sôi bị xì nước ra ngoài, nồi nhỡ bị kênh lắp khi nấu', 'Đáy dày nhưng thành nồi mỏng nấu lửa lớn dễ bị cháy thành nồi.', 'Hàng này ko được như quảng cáo ! Chất liệu không tốt ! Mới nấu lần t2 đã bị loang đen !', 'Thay đổi thời gian hàng, liên tục, giao hàng chậm, hẹn ngày 1/12 giao sau đó lại dịch sang ngày 5/12 trong khi mình đặt từ ngày 26/11 đã thanh toán, đề nghị xem lại. Thanks!', 'Mình nhận 3 nồi nhưng nồi lớn đáy cong vênh, ko bằng phẳng chỉ sử dụng được 2 cái. Dịch vụ Tiki vẫn rất tốt nhưng ko hài lòng sản phẩm', 'nồi nấu đc mấy hôm đã chuyển ố vàng. mất thẩm mỹ. sp kém', 'Nồi mua về sử dụng được đến lần thứ 2 thì bên ngoài nồi đen hết. thành nồi mỏng rất dễ cháy.', 'Tiki làm việc ko chuyên nghiệp, giao hàng không đúng tiến độ làm mất thời gian của khách hàng. Tôi hủy đơn hàng và mua ở chỗ khác', 'Bộ nồi nấu rất chán. Nấu cái gì cứ sôi là vung nồi nhảy lên cồng cộc , bắn tung toé hết ra xung quanh .', 'Sản phẩm mới sử dụng hai tháng đã bị bung đáy nồi, còn những cái còn lại thì vàng đáy hết trơn.', '', 'Bộ nồi nhìn đẹp, nhưng núm cầm của vung và nồi ko cách nhiệt, rất nón']"
